epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.258,1.43429,1.80855,1.59583,0.68033,0.57076,0.61508,0.43589,1.44933,1.7415,1.78429,0.00055486,0.00055486,0.00055486
2,493.421,1.43523,1.62814,1.60067,0.79174,0.62577,0.67941,0.48149,1.40473,1.48134,1.7742,0.00108304,0.00108304,0.00108304
3,732.454,1.36427,1.49843,1.55511,0.82669,0.69267,0.74917,0.54997,1.25686,1.28705,1.616,0.00158372,0.00158372,0.00158372
4,970.618,1.30532,1.39545,1.51412,0.82179,0.75755,0.78531,0.58392,1.18024,1.06387,1.51659,0.00154323,0.00154323,0.00154323
5,1207.56,1.25085,1.30845,1.48038,0.84927,0.78429,0.81108,0.61985,1.07004,0.89177,1.44616,0.00150197,0.00150197,0.00150197
6,1445.55,1.21454,1.24413,1.45133,0.84995,0.81816,0.82602,0.63529,1.04938,0.83848,1.41376,0.00146071,0.00146071,0.00146071
7,1683.49,1.18311,1.18708,1.43325,0.86093,0.81294,0.82239,0.62815,1.00697,0.80158,1.37937,0.00141945,0.00141945,0.00141945
8,1920.38,1.15863,1.15123,1.41409,0.86836,0.82171,0.82995,0.64463,0.99801,0.76697,1.38726,0.00137819,0.00137819,0.00137819
9,2158.31,1.14482,1.11769,1.40816,0.86806,0.82513,0.83375,0.64734,0.96761,0.75815,1.35265,0.00133693,0.00133693,0.00133693
10,2396.5,1.11796,1.08516,1.39003,0.87275,0.8301,0.8443,0.66235,0.94052,0.71773,1.33481,0.00129568,0.00129568,0.00129568
11,2635.06,1.10279,1.05154,1.38207,0.86502,0.82613,0.83718,0.65637,0.93668,0.75125,1.3367,0.00125442,0.00125442,0.00125442
12,2872.7,1.08829,1.03287,1.37213,0.88816,0.82302,0.85955,0.67678,0.88816,0.6795,1.2997,0.00121316,0.00121316,0.00121316
13,3111.11,1.07222,1.00954,1.359,0.87698,0.83543,0.85554,0.67731,0.90882,0.66276,1.30807,0.0011719,0.0011719,0.0011719
14,3349.16,1.0609,0.99657,1.35259,0.88836,0.85239,0.86272,0.68512,0.86679,0.61136,1.28675,0.00113064,0.00113064,0.00113064
15,3587.55,1.05695,0.97288,1.34507,0.88421,0.84787,0.85514,0.67894,0.85602,0.62799,1.28146,0.00108938,0.00108938,0.00108938
16,3825.31,1.03997,0.95624,1.33627,0.87017,0.85008,0.85182,0.68396,0.85444,0.6167,1.28321,0.00104813,0.00104813,0.00104813
17,4062.62,1.02546,0.92431,1.3207,0.88612,0.84978,0.85723,0.68525,0.84124,0.60869,1.27519,0.00100687,0.00100687,0.00100687
